country_id,latitude,longitude,bright_ti4,scan,track,tanggal_f,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,Kota,lat_p,lon_p,distance,hs
IDN,-3.38587,105.28088,340.71,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.27,8.32,D,Palembang,-2.9831,104.7527,73.7,1
IDN,-3.37863,105.2834,335.38,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,305.52,6.74,D,Palembang,-2.9831,104.7527,73.4,1
IDN,-3.37099,105.04132,352.75,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,311.49,10.76,D,Palembang,-2.9831,104.7527,53.6,1
IDN,-3.37046,105.04482,354.04,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,311.67,11.36,D,Palembang,-2.9831,104.7527,53.7,1
IDN,-3.36926,105.03033,345.62,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,309.26,7.31,D,Palembang,-2.9831,104.7527,52.7,1
IDN,-3.36872,105.03382,367,0.39,0.36,2023-10-01,629,1,VIIRS,h,2.0NRT,319.13,7.31,D,Palembang,-2.9831,104.7527,52.9,1
IDN,-3.36819,105.03732,367,0.39,0.36,2023-10-01,629,1,VIIRS,h,2.0NRT,317.23,10.12,D,Palembang,-2.9831,104.7527,53,1
IDN,-3.36766,105.04082,355.77,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,315.06,10.12,D,Palembang,-2.9831,104.7527,53.2,1
IDN,-3.36646,105.02632,367,0.39,0.36,2023-10-01,629,1,VIIRS,h,2.0NRT,318.77,10.81,D,Palembang,-2.9831,104.7527,52.2,1
IDN,-3.36592,105.02982,355.16,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,316.31,7.31,D,Palembang,-2.9831,104.7527,52.4,1
IDN,-3.36539,105.03332,344.81,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,312.4,7.31,D,Palembang,-2.9831,104.7527,52.5,1
IDN,-3.36472,105.01534,344.95,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,310.65,21.18,D,Palembang,-2.9831,104.7527,51.3,1
IDN,-3.36419,105.01883,356.2,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,312.78,21.18,D,Palembang,-2.9831,104.7527,51.5,1
IDN,-3.36366,105.02232,344.93,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.1,6.08,D,Palembang,-2.9831,104.7527,51.7,1
IDN,-3.3635,105.27028,347.9,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.76,10.57,D,Palembang,-2.9831,104.7527,71.3,1
IDN,-3.36323,104.86887,331.29,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,306.16,5.01,D,Palembang,-2.9831,104.7527,44,1
IDN,-3.3623,104.89721,349.83,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.83,38.6,D,Palembang,-2.9831,104.7527,44.9,1
IDN,-3.36177,104.9007,334.06,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.59,8.18,D,Palembang,-2.9831,104.7527,45,1
IDN,-3.36139,105.01483,352.58,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.82,21.18,D,Palembang,-2.9831,104.7527,51,1
IDN,-3.36086,105.01833,353.36,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,308.86,21.18,D,Palembang,-2.9831,104.7527,51.2,1
IDN,-3.36032,105.02182,343.19,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.18,6.08,D,Palembang,-2.9831,104.7527,51.3,1
IDN,-3.35845,104.9002,333.37,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300,8.18,D,Palembang,-2.9831,104.7527,44.6,1
IDN,-3.35086,105.01682,346.16,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,306.26,7.97,D,Palembang,-2.9831,104.7527,50.2,1
IDN,-3.34753,105.01633,346.66,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.09,7.97,D,Palembang,-2.9831,104.7527,49.8,1
IDN,-3.34725,105.06281,349.2,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,308.9,8.91,D,Palembang,-2.9831,104.7527,53,1
IDN,-3.34699,105.01981,367,0.39,0.36,2023-10-01,629,1,VIIRS,h,2.0NRT,320.52,15.74,D,Palembang,-2.9831,104.7527,50,1
IDN,-3.34646,105.02331,355.55,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,316.48,15.74,D,Palembang,-2.9831,104.7527,50.2,1
IDN,-3.3454,104.85196,344.96,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.7,6.19,D,Palembang,-2.9831,104.7527,41.6,1
IDN,-3.34445,105.05881,342.03,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,310.15,11.9,D,Palembang,-2.9831,104.7527,52.5,1
IDN,-3.34391,105.0623,352.61,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,314.15,31.15,D,Palembang,-2.9831,104.7527,52.7,1
IDN,-3.34366,105.01932,356.27,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,321.96,15.74,D,Palembang,-2.9831,104.7527,49.7,1
IDN,-3.34312,105.02281,351.93,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,313.88,15.74,D,Palembang,-2.9831,104.7527,49.9,1
IDN,-3.34086,105.01532,342.91,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,309.59,17.73,D,Palembang,-2.9831,104.7527,49.2,1
IDN,-3.34033,105.01881,356.34,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,312.55,15.74,D,Palembang,-2.9831,104.7527,49.3,1
IDN,-3.33979,105.02232,350.16,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,308.63,15.74,D,Palembang,-2.9831,104.7527,49.5,1
IDN,-3.33874,105.23045,346.97,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.26,4.94,D,Palembang,-2.9831,104.7527,66.1,1
IDN,-3.33821,105.23397,346.71,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.33,4.3,D,Palembang,-2.9831,104.7527,66.4,1
IDN,-3.33767,105.2375,344.43,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.96,4.3,D,Palembang,-2.9831,104.7527,66.6,1
IDN,-3.33713,105.24102,340.43,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.24,4.45,D,Palembang,-2.9831,104.7527,66.9,1
IDN,-3.3354,105.22994,341.7,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.78,4.94,D,Palembang,-2.9831,104.7527,65.8,1
IDN,-3.33486,105.23347,340.13,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.39,4.3,D,Palembang,-2.9831,104.7527,66.1,1
IDN,-3.33432,105.23699,331.71,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,297.37,4.3,D,Palembang,-2.9831,104.7527,66.4,1
IDN,-3.33378,105.24052,334.87,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.13,4.45,D,Palembang,-2.9831,104.7527,66.7,1
IDN,-3.33175,105.27629,330.68,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,301.94,3.96,D,Palembang,-2.9831,104.7527,69.8,1
