latitude,longitude,bright_ti4,Tanggal,tgl,kota,lat_pol,lon_pol,PM2_5,ISPU_PM_2_5,PM10,geo,jarak,hs,,,,,,,,,,,,
-3.71823,105.40958,335.51,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71823105.40958,109.2555749,1,,,,,,,,,,,,
-3.71805,105.36611,337.17,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71805105.36611,106.0735385,1,,,,,,,,,,,,
-3.71703,105.52937,334.64,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71703105.52937,118.4736456,1,,,,,,,,,,,,
-3.71696,105.37318,345.37,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71696105.37318,106.4883066,1,,,,,,,,,,,,
-3.7166,105.4202,335.57,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71660105.42020,109.9145934,1,,,,,,,,,,,,
-3.71578,105.35854,338.82,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71578105.35854,105.3417512,1,,,,,,,,,,,,
-3.71485,105.54363,343.43,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.71485105.54363,119.4697479,1,,,,,,,,,,,,
-3.69651,105.38028,331.45,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.69651105.38028,105.2967338,1,,,,,,,,,,,,
-3.6956,104.60178,342.51,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.69560104.60178,80.55226044,1,,,,,,,,,,,,
-3.69544,105.29703,351.94,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.69544105.29703,99.31696188,1,,,,,,,,,,,,
-3.69418,103.84956,337.51,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.69418103.84956,127.4997056,1,,,,,,,,,,,,
-3.6924,105.53293,330.15,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.69240105.53293,116.9187632,1,,,,,,,,,,,,
-3.69023,105.74914,336.33,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.69023105.74914,135.5601317,1,,,,,,,,,,,,
-3.69005,105.68277,345.85,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.69005105.68277,129.5928843,1,,,,,,,,,,,,
-3.68968,105.75275,346.85,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.68968105.75275,135.8530851,1,,,,,,,,,,,,
-3.68959,105.52884,338.95,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.68959105.52884,116.3733547,1,,,,,,,,,,,,
-3.68218,104.57857,345.92,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.68218104.57857,79.68822927,1,,,,,,,,,,,,
-3.68217,104.71287,333.51,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.68217104.71287,77.42841755,1,,,,,,,,,,,,
