country_id,latitude,longitude,bright_ti4,scan,track,tanggal,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,lat_p,lon_p
IDN,-3.69023,105.74914,336.33,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.46,5.97,D,-2.9831,104.7527
IDN,-3.69005,105.68277,345.85,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,306.09,12.28,D,-2.9831,104.7527
IDN,-3.68968,105.75275,346.85,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,302.05,5.97,D,-2.9831,104.7527
IDN,-3.68959,105.52884,338.95,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,298.17,3.8,D,-2.9831,104.7527
IDN,-3.68218,104.57857,345.92,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.44,17.39,D,-2.9831,104.7527
IDN,-3.68217,104.71287,333.51,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.61,2.76,D,-2.9831,104.7527
IDN,-3.67653,105.39898,343.71,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.56,10.06,D,-2.9831,104.7527
IDN,-3.65931,105.79255,347.48,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.81,6.67,D,-2.9831,104.7527
IDN,-3.65592,105.79205,344.07,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.99,6.67,D,-2.9831,104.7527
IDN,-3.65186,105.38081,335.79,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,304.17,3.39,D,-2.9831,104.7527
IDN,-3.64937,104.68317,334.61,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.6,3.71,D,-2.9831,104.7527
IDN,-3.64851,105.38029,336.18,0.39,0.37,2023-10-01,629,1,VIIRS,l,2.0NRT,306.28,4.19,D,-2.9831,104.7527
IDN,-3.64516,105.37979,340.04,0.39,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,308.53,4.19,D,-2.9831,104.7527
IDN,-3.64462,105.38333,333.7,0.39,0.37,2023-10-01,629,1,VIIRS,l,2.0NRT,306.2,5.08,D,-2.9831,104.7527
IDN,-3.63989,103.76018,336.07,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.04,4.31,D,-2.9831,104.7527
IDN,-3.63015,105.27635,336.29,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.72,2.1,D,-2.9831,104.7527
